question,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
1. Un de ces verbes n’est pas à l’imparfait. Lequel?,A. je bondissais,B. il s’élançait,C. nous courrions,D. elles accéléraient,,,,,,1. c. Nous courrions est au conditionnel présent.,
"4. Tous ces verbes sont du 2e groupe, sauf un. Quel est l’intrus?",A. agir,B. déglutir,C. haïr,D. languir,E. pervertir,F. pressentir,G. sertir,H. vrombir,,4. f. Pressentir. (Verbe du 3e groupe: nous pressentons.),
9. Comment s’appelle le temps formé avec l’auxiliaire à l’imparfait de l’indicatif et le participe passé?,A. le plus-que-parfait,B. le plus-qu’imparfait,C. le passé de l’imparfait,,,,,,,9. a. le plus-que-parfait,
13. Quelle est la forme correcte du verbe bouillir à l’imparfait du subjonctif?,A. qu’il bouillît,B. qu’il bouillisse,C. qu’il bouillusse,,,,,,,"13. a. À l’imparfait du subjonctif, il y a toujours un accent circonflexe à la 3e personne du singulier.",
15. Quelle est la forme correcte du verbe se mouvoir au présent de l’indicatif?,A. je me meuve,B. je me meus,C. je me meux,,,,,,,15. b. je me meus,
18. Quelle est la phrase correctement écrite?,A. Ne faisez plus l’erreur.,B. Ne faîtes plus l’erreur.,C. Ne faites plus l’erreur.,,,,,,,18. c. Faire est un verbe irrégulier: sa 2e personne du pluriel au présent n’est pas en -ez comme les autres verbes.,
19. Quelle est la forme correcte du verbe résoudre?,A. nous résolverons,B. nous résoudrons,,,,,,,,"19. b. Résolv- est le radical utilisé pour former l’imparfait de l’indicatif et le présent du subjonctif, pas le futur.",
21. Avec quel mot rime le verbe voie dans la phrase: «Il faut qu’on se voie»?,A. avec ouailles,B. avec oie,,,,,,,,21. b.  avec oie,
22. Un verbe défectif est un verbe:,A. qui a plus de deux radicaux,B. qui ne se conjugue pas à tous les temps,C. qui exprime une idée négative,,,,,,,"22. b. Le verbe gésir, par exemple, ne se conjugue qu’au présent, à l’imparfait et au participe présent.",
26. La forme finit correspond à deux temps. Lesquels?,A. présent,B. participe passé,C. passé simple,,,,,,,"26. a. et c. Aux trois personnes du singulier, les verbes du 2e groupe se conjuguent de la même façon au présent et au passé simple.",
27. Qu’appelle-t-on un temps surcomposé?,A. un temps composé dans lequel l’auxiliaire est lui-même à un temps composé,B. un temps formé du participe passé précédé d’un auxiliaire au passif,C. les temps surcomposés n’existent pas,,,,,,,"27. a. J’ai eu fini, par exemple.",
"31. Parmi ces verbes, lequel est défectif?",A. naître,B. paître,C. paraître,,,,,,,31. b. Paître n’a ni passé simple ni participe passé (et donc aucun temps composé).,
